ID,HOUSE_NUMBER,PRE_DIR,STREET_NAME,STREET_TYPE,FULL_ADDRESS_RANGE,BUILDING_NAME1,BUILDING_NAME2,MONTH_VIEW,TOTAL_ROOF_SQFT,VEGETATED_SQFT,FACT_SHEET,LATITUDE,LONGITUDE,LOCATION
131,1000,E,OHIO,ST,1000-1000 E OHIO ST,Jardine Water Filtration Plant Complex, ,August 2010,996436,75259,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_131.pdf,41.89481635,-87.60614801,"(41.89481635, -87.60614801)"
163,460,W,HURON,ST,460-460 W HURON ST, , ,August 2010,2430,478,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_163.pdf,41.89491588,-87.64089652,"(41.89491588, -87.64089652)"
295,233,E,SUPERIOR,ST,233-233 E SUPERIOR ST,OLSON PAVILION/MCGAW PAVILION/HEALTH SC,NORTHWESTERN UNIVERSITY,August 2010,47831,2969,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_295.pdf,41.89524788,-87.6207027,"(41.89524788, -87.62070270)"
178,1,W,SUPERIOR,ST,1-33 W SUPERIOR ST,ONE SUPERIOR PLACE, ,August 2010,73130,7172,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_178.pdf,41.89532593,-87.62890355,"(41.89532593, -87.62890355)"
347,110,W,SUPERIOR,ST,110-116 W SUPERIOR ST,110 W SUPERIOR, ,August 2010,6196,899,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_347.pdf,41.89592113,-87.63199711,"(41.89592113, -87.63199711)"
177,745,N,WABASH,AVE,745-747 N WABASH AVE, , ,August 2010,17925,4069,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_177.pdf,41.89630118,-87.62639518,"(41.89630118, -87.62639518)"
310,115,W,CHICAGO,AVE,115-115 W CHICAGO AVE,ACCESS LIVING, ,August 2010,10379,6925,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_310.pdf,41.89631036,-87.6319193,"(41.89631036, -87.63191930)"
005,232,E,SUPERIOR,ST,232-254 E SUPERIOR ST, , ,August 2010,58431,11235,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_005.pdf,41.89641295,-87.62094686,"(41.89641295, -87.62094686)"
176,20,E,CHICAGO,AVE,20-24 E CHICAGO AVE, , ,August 2010,7174,1494,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_176.pdf,41.89694905,-87.62732467,"(41.89694905, -87.62732467)"
294,55,E,PEARSON,ST,55-55 E PEARSON ST,THE CLARE AT WATERTOWER,SENIOR RETIREMENT RESIDENCE,August 2010,23303,12177,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_294.pdf,41.89723248,-87.62651705,"(41.89723248, -87.62651705)"
